calibration_id,question_id,answer_quality,answer_text,score,score_rationale,key_indicators,key_points,missing_elements,rubric_id,domain,primary_skill
CAL000001,Q00001,Poor,I do not know how to design a legacy monolithic system using Python.,1,"Score 1/10: Poor understanding, missing all key concepts.",none,none,architectural thinking|specific examples|edge cases,RUB-GEN,Technical,Python
CAL000002,Q00001,Average,"I can design it basically using Python, but I might struggle with with limited budget for cloud resources.",4,"Score 4/10: Average understanding, covers basics but misses depth.",basic implementation,general concepts,edge cases|failure scenarios,RUB-GEN,Technical,Python
CAL000003,Q00001,Strong,"I have deep expertise with Python. I would design a legacy monolithic system by implementing X and Y, easily handling with limited budget for cloud resources through Z. We achieved a measurable improvement doing this previously.",10,"Score 10/10: Strong understanding, exceptional depth and metrics.",depth|metrics|trade-offs,"best practices, advanced usage",None,RUB-GEN,Technical,Python
CAL000004,Q00002,Poor,I do not know how to architect a legacy monolithic system using Adaptability.,2,"Score 2/10: Poor understanding, missing all key concepts.",none,none,architectural thinking|specific examples|edge cases,RUB-GEN,Soft Skills,Adaptability
CAL000005,Q00002,Average,"I can architect it basically using Adaptability, but I might struggle with with a hard deadline of two weeks.",4,"Score 4/10: Average understanding, covers basics but misses depth.",basic implementation,general concepts,edge cases|failure scenarios,RUB-GEN,Soft Skills,Adaptability
CAL000006,Q00002,Strong,"I have deep expertise with Adaptability. I would architect a legacy monolithic system by implementing X and Y, easily handling with a hard deadline of two weeks through Z. We achieved a measurable improvement doing this previously.",9,"Score 9/10: Strong understanding, exceptional depth and metrics.",depth|metrics|trade-offs,"best practices, advanced usage",None,RUB-GEN,Soft Skills,Adaptability
CAL000007,Q00003,Poor,I do not know how to architect a distributed microservices architecture using Security.,1,"Score 1/10: Poor understanding, missing all key concepts.",none,none,architectural thinking|specific examples|edge cases,RUB-GEN,System Design,Security
CAL000008,Q00003,Average,"I can architect it basically using Security, but I might struggle with with a hard deadline of two weeks.",5,"Score 5/10: Average understanding, covers basics but misses depth.",basic implementation,general concepts,edge cases|failure scenarios,RUB-GEN,System Design,Security
CAL000009,Q00003,Strong,"I have deep expertise with Security. I would architect a distributed microservices architecture by implementing X and Y, easily handling with a hard deadline of two weeks through Z. We achieved a measurable improvement doing this previously.",9,"Score 9/10: Strong understanding, exceptional depth and metrics.",depth|metrics|trade-offs,"best practices, advanced usage",None,RUB-GEN,System Design,Security
CAL000010,Q00004,Poor,I do not know how to implement a realtime data pipeline using Node.js.,1,"Score 1/10: Poor understanding, missing all key concepts.",none,none,architectural thinking|specific examples|edge cases,RUB-GEN,Technical,Node.js
CAL000011,Q00004,Average,"I can implement it basically using Node.js, but I might struggle with with limited budget for cloud resources.",7,"Score 7/10: Average understanding, covers basics but misses depth.",basic implementation,general concepts,edge cases|failure scenarios,RUB-GEN,Technical,Node.js
CAL000012,Q00004,Strong,"I have deep expertise with Node.js. I would implement a realtime data pipeline by implementing X and Y, easily handling with limited budget for cloud resources through Z. We achieved a measurable improvement doing this previously.",9,"Score 9/10: Strong understanding, exceptional depth and metrics.",depth|metrics|trade-offs,"best practices, advanced usage",None,RUB-GEN,Technical,Node.js
CAL000013,Q00005,Poor,I do not know how to migrate an offline-first mobile app backing service using Security.,3,"Score 3/10: Poor understanding, missing all key concepts.",none,none,architectural thinking|specific examples|edge cases,RUB-GEN,System Design,Security
CAL000014,Q00005,Average,"I can migrate it basically using Security, but I might struggle with with limited budget for cloud resources.",7,"Score 7/10: Average understanding, covers basics but misses depth.",basic implementation,general concepts,edge cases|failure scenarios,RUB-GEN,System Design,Security
CAL000015,Q00005,Strong,"I have deep expertise with Security. I would migrate an offline-first mobile app backing service by implementing X and Y, easily handling with limited budget for cloud resources through Z. We achieved a measurable improvement doing this previously.",9,"Score 9/10: Strong understanding, exceptional depth and metrics.",depth|metrics|trade-offs,"best practices, advanced usage",None,RUB-GEN,System Design,Security
CAL000016,Q00006,Poor,I do not know how to secure a resource-constrained IoT ecosystem using E-commerce.,1,"Score 1/10: Poor understanding, missing all key concepts.",none,none,architectural thinking|specific examples|edge cases,RUB-GEN,Domain Knowledge,E-commerce
CAL000017,Q00006,Average,"I can secure it basically using E-commerce, but I might struggle with with a hard deadline of two weeks.",4,"Score 4/10: Average understanding, covers basics but misses depth.",basic implementation,general concepts,edge cases|failure scenarios,RUB-GEN,Domain Knowledge,E-commerce
CAL000018,Q00006,Strong,"I have deep expertise with E-commerce. I would secure a resource-constrained IoT ecosystem by implementing X and Y, easily handling with a hard deadline of two weeks through Z. We achieved a measurable improvement doing this previously.",8,"Score 8/10: Strong understanding, exceptional depth and metrics.",depth|metrics|trade-offs,"best practices, advanced usage",None,RUB-GEN,Domain Knowledge,E-commerce
CAL000019,Q00007,Poor,I do not know how to implement a latency-sensitive trading platform using Time Management.,1,"Score 1/10: Poor understanding, missing all key concepts.",none,none,architectural thinking|specific examples|edge cases,RUB-GEN,Soft Skills,Time Management
CAL000020,Q00007,Average,"I can implement it basically using Time Management, but I might struggle with with a globally distributed team.",6,"Score 6/10: Average understanding, covers basics but misses depth.",basic implementation,general concepts,edge cases|failure scenarios,RUB-GEN,Soft Skills,Time Management
CAL000021,Q00007,Strong,"I have deep expertise with Time Management. I would implement a latency-sensitive trading platform by implementing X and Y, easily handling with a globally distributed team through Z. We achieved a measurable improvement doing this previously.",9,"Score 9/10: Strong understanding, exceptional depth and metrics.",depth|metrics|trade-offs,"best practices, advanced usage",None,RUB-GEN,Soft Skills,Time Management
CAL000022,Q00008,Poor,I do not know how to optimize an offline-first mobile app backing service using Time Management.,3,"Score 3/10: Poor understanding, missing all key concepts.",none,none,architectural thinking|specific examples|edge cases,RUB-GEN,Soft Skills,Time Management
CAL000023,Q00008,Average,"I can optimize it basically using Time Management, but I might struggle with while ensuring 99.99% uptime.",4,"Score 4/10: Average understanding, covers basics but misses depth.",basic implementation,general concepts,edge cases|failure scenarios,RUB-GEN,Soft Skills,Time Management
CAL000024,Q00008,Strong,"I have deep expertise with Time Management. I would optimize an offline-first mobile app backing service by implementing X and Y, easily handling while ensuring 99.99% uptime through Z. We achieved a measurable improvement doing this previously.",10,"Score 10/10: Strong understanding, exceptional depth and metrics.",depth|metrics|trade-offs,"best practices, advanced usage",None,RUB-GEN,Soft Skills,Time Management
CAL000025,Q00009,Poor,I do not know how to scale a legacy monolithic system using API Design.,1,"Score 1/10: Poor understanding, missing all key concepts.",none,none,architectural thinking|specific examples|edge cases,RUB-GEN,System Design,API Design
CAL000026,Q00009,Average,"I can scale it basically using API Design, but I might struggle with while ensuring 99.99% uptime.",7,"Score 7/10: Average understanding, covers basics but misses depth.",basic implementation,general concepts,edge cases|failure scenarios,RUB-GEN,System Design,API Design
CAL000027,Q00009,Strong,"I have deep expertise with API Design. I would scale a legacy monolithic system by implementing X and Y, easily handling while ensuring 99.99% uptime through Z. We achieved a measurable improvement doing this previously.",10,"Score 10/10: Strong understanding, exceptional depth and metrics.",depth|metrics|trade-offs,"best practices, advanced usage",None,RUB-GEN,System Design,API Design
CAL000028,Q00010,Poor,I do not know how to scale a legacy monolithic system using Conflict Resolution.,1,"Score 1/10: Poor understanding, missing all key concepts.",none,none,architectural thinking|specific examples|edge cases,RUB-GEN,Soft Skills,Conflict Resolution
CAL000029,Q00010,Average,"I can scale it basically using Conflict Resolution, but I might struggle with with limited budget for cloud resources.",4,"Score 4/10: Average understanding, covers basics but misses depth.",basic implementation,general concepts,edge cases|failure scenarios,RUB-GEN,Soft Skills,Conflict Resolution
CAL000030,Q00010,Strong,"I have deep expertise with Conflict Resolution. I would scale a legacy monolithic system by implementing X and Y, easily handling with limited budget for cloud resources through Z. We achieved a measurable improvement doing this previously.",9,"Score 9/10: Strong understanding, exceptional depth and metrics.",depth|metrics|trade-offs,"best practices, advanced usage",None,RUB-GEN,Soft Skills,Conflict Resolution
CAL000031,Q00011,Poor,I do not know how to architect a legacy monolithic system using AWS.,2,"Score 2/10: Poor understanding, missing all key concepts.",none,none,architectural thinking|specific examples|edge cases,RUB-GEN,Technical,AWS
CAL000032,Q00011,Average,"I can architect it basically using AWS, but I might struggle with with limited budget for cloud resources.",7,"Score 7/10: Average understanding, covers basics but misses depth.",basic implementation,general concepts,edge cases|failure scenarios,RUB-GEN,Technical,AWS
CAL000033,Q00011,Strong,"I have deep expertise with AWS. I would architect a legacy monolithic system by implementing X and Y, easily handling with limited budget for cloud resources through Z. We achieved a measurable improvement doing this previously.",8,"Score 8/10: Strong understanding, exceptional depth and metrics.",depth|metrics|trade-offs,"best practices, advanced usage",None,RUB-GEN,Technical,AWS
CAL000034,Q00012,Poor,I do not know how to scale a high-traffic web application using Adaptability.,1,"Score 1/10: Poor understanding, missing all key concepts.",none,none,architectural thinking|specific examples|edge cases,RUB-GEN,Soft Skills,Adaptability
CAL000035,Q00012,Average,"I can scale it basically using Adaptability, but I might struggle with with a hard deadline of two weeks.",7,"Score 7/10: Average understanding, covers basics but misses depth.",basic implementation,general concepts,edge cases|failure scenarios,RUB-GEN,Soft Skills,Adaptability
CAL000036,Q00012,Strong,"I have deep expertise with Adaptability. I would scale a high-traffic web application by implementing X and Y, easily handling with a hard deadline of two weeks through Z. We achieved a measurable improvement doing this previously.",10,"Score 10/10: Strong understanding, exceptional depth and metrics.",depth|metrics|trade-offs,"best practices, advanced usage",None,RUB-GEN,Soft Skills,Adaptability
CAL000037,Q00013,Poor,I do not know how to scale a legacy monolithic system using Microservices.,3,"Score 3/10: Poor understanding, missing all key concepts.",none,none,architectural thinking|specific examples|edge cases,RUB-GEN,System Design,Microservices
CAL000038,Q00013,Average,"I can scale it basically using Microservices, but I might struggle with under strict memory constraints.",4,"Score 4/10: Average understanding, covers basics but misses depth.",basic implementation,general concepts,edge cases|failure scenarios,RUB-GEN,System Design,Microservices
CAL000039,Q00013,Strong,"I have deep expertise with Microservices. I would scale a legacy monolithic system by implementing X and Y, easily handling under strict memory constraints through Z. We achieved a measurable improvement doing this previously.",8,"Score 8/10: Strong understanding, exceptional depth and metrics.",depth|metrics|trade-offs,"best practices, advanced usage",None,RUB-GEN,System Design,Microservices
CAL000040,Q00014,Poor,I do not know how to scale a latency-sensitive trading platform using Communication.,3,"Score 3/10: Poor understanding, missing all key concepts.",none,none,architectural thinking|specific examples|edge cases,RUB-GEN,Soft Skills,Communication
CAL000041,Q00014,Average,"I can scale it basically using Communication, but I might struggle with during a major compliance audit.",7,"Score 7/10: Average understanding, covers basics but misses depth.",basic implementation,general concepts,edge cases|failure scenarios,RUB-GEN,Soft Skills,Communication
CAL000042,Q00014,Strong,"I have deep expertise with Communication. I would scale a latency-sensitive trading platform by implementing X and Y, easily handling during a major compliance audit through Z. We achieved a measurable improvement doing this previously.",8,"Score 8/10: Strong understanding, exceptional depth and metrics.",depth|metrics|trade-offs,"best practices, advanced usage",None,RUB-GEN,Soft Skills,Communication
CAL000043,Q00015,Poor,I do not know how to secure a realtime data pipeline using Conflict Resolution.,3,"Score 3/10: Poor understanding, missing all key concepts.",none,none,architectural thinking|specific examples|edge cases,RUB-GEN,Soft Skills,Conflict Resolution
CAL000044,Q00015,Average,"I can secure it basically using Conflict Resolution, but I might struggle with under strict memory constraints.",4,"Score 4/10: Average understanding, covers basics but misses depth.",basic implementation,general concepts,edge cases|failure scenarios,RUB-GEN,Soft Skills,Conflict Resolution
CAL000045,Q00015,Strong,"I have deep expertise with Conflict Resolution. I would secure a realtime data pipeline by implementing X and Y, easily handling under strict memory constraints through Z. We achieved a measurable improvement doing this previously.",8,"Score 8/10: Strong understanding, exceptional depth and metrics.",depth|metrics|trade-offs,"best practices, advanced usage",None,RUB-GEN,Soft Skills,Conflict Resolution
CAL000046,Q00016,Poor,I do not know how to migrate an offline-first mobile app backing service using AWS.,1,"Score 1/10: Poor understanding, missing all key concepts.",none,none,architectural thinking|specific examples|edge cases,RUB-GEN,Technical,AWS
