question_id,question_text,domain,primary_skill,secondary_skills,target_role,seniority_level,difficulty,difficulty_score,bloom_level,question_type,expected_duration_min,esco_code,onet_code,tags,bias_risk_flag,conflict_sensitivity,illegal_question_flag,demographic_sensitivity
Q00001,How would you design a legacy monolithic system using Python with limited budget for cloud resources? (Variant 1),Technical,Python,Java|Node.js,EXP-PROD-MID,Mid,Medium,3,Create,Behavioral,13,ESCO.858,ONET.658,technical|python|medium,Low,Low,False,None
Q00002,How would you architect a legacy monolithic system using Adaptability with a hard deadline of two weeks? (Variant 2),Soft Skills,Adaptability,Time Management|Communication,EXP-ML E-SEN,Senior,Hard,4,Remember,Technical,14,ESCO.532,ONET.448,soft skills|adaptability|hard,Low,Low,False,None
Q00003,How would you architect a distributed microservices architecture using Security with a hard deadline of two weeks? (Variant 3),System Design,Security,Scalability|Microservices,EXP-QA E-SEN,Senior,Expert,5,Evaluate,Behavioral,9,ESCO.180,ONET.665,system design|security|expert,Low,Low,False,None
Q00004,How would you implement a realtime data pipeline using Node.js with limited budget for cloud resources? (Variant 4),Technical,Node.js,JavaScript|SQL,EXP-PROD-SEN,Senior,Expert,5,Create,Situational,5,ESCO.479,ONET.463,technical|node.js|expert,Low,Low,False,None
Q00005,How would you migrate an offline-first mobile app backing service using Security with limited budget for cloud resources? (Variant 5),System Design,Security,Database Design|Scalability,EXP-CLOU-SEN,Senior,Easy,2,Understand,Behavioral,15,ESCO.423,ONET.510,system design|security|easy,Low,Low,False,None
Q00006,How would you secure a resource-constrained IoT ecosystem using E-commerce with a hard deadline of two weeks? (Variant 6),Domain Knowledge,E-commerce,Healthcare|E-commerce,EXP-PROD-MID,Mid,Hard,4,Create,Case Study,12,ESCO.508,ONET.470,domain knowledge|e-commerce|hard,Low,Low,False,Culture
Q00007,How would you implement a latency-sensitive trading platform using Time Management with a globally distributed team? (Variant 7),Soft Skills,Time Management,Adaptability|Leadership,EXP-ML E-JUN,Junior,Expert,5,Evaluate,Case Study,11,ESCO.357,ONET.666,soft skills|time management|expert,Medium,Low,False,None
Q00008,How would you optimize an offline-first mobile app backing service using Time Management while ensuring 99.99% uptime? (Variant 8),Soft Skills,Time Management,Leadership|Conflict Resolution,EXP-FRON-MID,Mid,Medium,3,Evaluate,Behavioral,13,ESCO.405,ONET.961,soft skills|time management|medium,Low,Low,False,None
Q00009,How would you scale a legacy monolithic system using API Design while ensuring 99.99% uptime? (Variant 9),System Design,API Design,Microservices|Security,EXP-DEVO-SEN,Senior,Hard,4,Understand,Behavioral,6,ESCO.999,ONET.680,system design|api design|hard,High,Low,False,None
Q00010,How would you scale a legacy monolithic system using Conflict Resolution with limited budget for cloud resources? (Variant 10),Soft Skills,Conflict Resolution,Adaptability|Time Management,EXP-PROD-JUN,Junior,Medium,3,Create,Situational,9,ESCO.787,ONET.765,soft skills|conflict resolution|medium,Low,Low,False,Age
Q00011,How would you architect a legacy monolithic system using AWS with limited budget for cloud resources? (Variant 11),Technical,AWS,Kubernetes|Node.js,EXP-BACK-JUN,Junior,Medium,3,Remember,Behavioral,14,ESCO.746,ONET.160,technical|aws|medium,Low,Low,False,Gender
