chain_id,base_question_id,chain_type,chain_question,trigger_condition,difficulty,domain,primary_skill,order_in_chain,max_depth,adaptive_weight,scoring_threshold,session_applicable
8732a146-9933-44e4-a090-87ea3da119f0,Q00001,follow_up,Can you provide a specific metric when you tried to design a legacy monolithic system?,No mention of trade-offs,Medium,Technical,Python,2,3,0.5,6,All
cc4baed9-cbbd-48ba-a921-125b8644e508,Q00001,deep_dive,What are the specific trade-offs of using Python for this over an alternative?,Strong base answer,Medium,Technical,Python,3,3,0.6,7,All
255ef98d-6366-435c-b4b5-e021458cb9ca,Q00001,edge_case,How does the system recover if Python fails with limited budget for cloud resources?,Missing failure scenarios,Medium,Technical,Python,4,3,0.8,8,All
ac968f0a-cd2a-486c-b709-9d80373af262,Q00002,follow_up,Can you provide a specific metric when you tried to architect a legacy monolithic system?,No conflict acknowledged,Hard,Soft Skills,Adaptability,2,3,0.5,6,All
2c1a4c03-f783-4ee9-a8bb-2a9acf6039c0,Q00002,deep_dive,What are the specific trade-offs of using Adaptability for this over an alternative?,No personal ownership shown,Hard,Soft Skills,Adaptability,3,3,0.6,7,All
db51a3bc-4b0d-46ea-a84c-eac8fc3a55fe,Q00002,edge_case,How does the system recover if Adaptability fails with a hard deadline of two weeks?,No conflict acknowledged,Hard,Soft Skills,Adaptability,4,3,0.8,8,All
35ccb7b6-5dc8-4c8c-bcdd-6d1c4d3cd843,Q00003,follow_up,Can you provide a specific metric when you tried to architect a distributed microservices architecture?,Missed fault tolerance,Expert,System Design,Security,2,3,0.5,6,All
a091ab6c-def8-4672-8e00-3dab01e8f733,Q00003,deep_dive,What are the specific trade-offs of using Security for this over an alternative?,Missing CAP theorem awareness,Expert,System Design,Security,3,3,0.6,7,All
a24e5470-5640-4616-962b-a9824c7f39ab,Q00003,edge_case,How does the system recover if Security fails with a hard deadline of two weeks?,Skipped SLA definition,Expert,System Design,Security,4,3,0.8,8,All
9977c9b9-d83a-4c92-bd19-08e26b7379d8,Q00004,follow_up,Can you provide a specific metric when you tried to implement a realtime data pipeline?,Missing cost consideration,Expert,Technical,Node.js,2,3,0.5,6,All
d970e8a9-2d33-4534-b6b9-1fd2713fc48e,Q00004,deep_dive,What are the specific trade-offs of using Node.js for this over an alternative?,Strong base answer,Expert,Technical,Node.js,3,3,0.6,7,All
36194b11-d424-4c8a-b69c-a13a8a6cb92f,Q00004,edge_case,How does the system recover if Node.js fails with limited budget for cloud resources?,Missing cost consideration,Expert,Technical,Node.js,4,3,0.8,8,All
fa6e55cc-dcc9-458a-b2b0-15ee1710c84a,Q00005,follow_up,Can you provide a specific metric when you tried to migrate an offline-first mobile app backing service?,Did not consider latency,Easy,System Design,Security,2,3,0.5,6,All
79f99cf9-d6dd-47f5-b717-9bf76693b95d,Q00005,deep_dive,What are the specific trade-offs of using Security for this over an alternative?,Missing CAP theorem awareness,Easy,System Design,Security,3,3,0.6,7,All
7a519e03-feed-4caa-9e9e-c9f12ba53373,Q00005,edge_case,How does the system recover if Security fails with limited budget for cloud resources?,Missing failure scenarios,Easy,System Design,Security,4,3,0.8,8,All
1c6fb06e-dbe6-43d4-978d-f61b2954c50c,Q00006,follow_up,Can you provide a specific metric when you tried to secure a resource-constrained IoT ecosystem?,Domain-specific terminology missing,Hard,Domain Knowledge,E-commerce,2,3,0.5,6,All
91b554d9-4d2d-44bd-a0d5-d201063d705a,Q00006,deep_dive,What are the specific trade-offs of using E-commerce for this over an alternative?,Strong base answer,Hard,Domain Knowledge,E-commerce,3,3,0.6,7,All
7b8f4795-9290-4397-b235-d3ef1af0cade,Q00006,edge_case,How does the system recover if E-commerce fails with a hard deadline of two weeks?,No mention of business impact,Hard,Domain Knowledge,E-commerce,4,3,0.8,8,All
e497a895-2177-4b36-a7cf-26593840be10,Q00007,follow_up,Can you provide a specific metric when you tried to implement a latency-sensitive trading platform?,No measurable impact given,Expert,Soft Skills,Time Management,2,3,0.5,6,All
ddccdc0d-3137-4614-a939-d9db34438c4e,Q00007,deep_dive,What are the specific trade-offs of using Time Management for this over an alternative?,No personal ownership shown,Expert,Soft Skills,Time Management,3,3,0.6,7,All
46d64193-8b6e-4602-bf50-e2922348f449,Q00007,edge_case,How does the system recover if Time Management fails with a globally distributed team?,Stakeholder impact missing,Expert,Soft Skills,Time Management,4,3,0.8,8,All
5bd28307-ee02-4206-90d6-2ae1b4cda24c,Q00008,follow_up,Can you provide a specific metric when you tried to optimize an offline-first mobile app backing service?,No measurable impact given,Medium,Soft Skills,Time Management,2,3,0.5,6,All
6d2f23f6-9675-4aea-b424-d4e23514a94b,Q00008,deep_dive,What are the specific trade-offs of using Time Management for this over an alternative?,Strong STAR answer,Medium,Soft Skills,Time Management,3,3,0.6,7,All
e01f65c1-ee8b-4e21-a30e-1b20c54d0e73,Q00008,edge_case,How does the system recover if Time Management fails while ensuring 99.99% uptime?,Stakeholder impact missing,Medium,Soft Skills,Time Management,4,3,0.8,8,All
318b7a67-428f-42f1-8e59-93eb1525a559,Q00009,follow_up,Can you provide a specific metric when you tried to scale a legacy monolithic system?,Did not consider latency,Hard,System Design,API Design,2,3,0.5,6,All
5d8fd4f2-d2d1-4316-ac42-927889d04687,Q00009,deep_dive,What are the specific trade-offs of using API Design for this over an alternative?,Missing CAP theorem awareness,Hard,System Design,API Design,3,3,0.6,7,All
2deacc34-7249-46d4-a2fa-18500732fa38,Q00009,edge_case,How does the system recover if API Design fails while ensuring 99.99% uptime?,Missing CAP theorem awareness,Hard,System Design,API Design,4,3,0.8,8,All
6fe4bc21-399f-4f16-a6ac-3a0b1bf8f823,Q00010,follow_up,Can you provide a specific metric when you tried to scale a legacy monolithic system?,Generic example used,Medium,Soft Skills,Conflict Resolution,2,3,0.5,6,All
788dc26c-cf36-4154-ac90-a0e78582cdd3,Q00010,deep_dive,What are the specific trade-offs of using Conflict Resolution for this over an alternative?,Strong self-awareness shown,Medium,Soft Skills,Conflict Resolution,3,3,0.6,7,All
40798e30-52d1-4014-906e-f3db3047752e,Q00010,edge_case,How does the system recover if Conflict Resolution fails with limited budget for cloud resources?,No conflict acknowledged,Medium,Soft Skills,Conflict Resolution,4,3,0.8,8,All
4b1b4d6f-f418-411a-8a45-814defc1a2d5,Q00011,follow_up,Can you provide a specific metric when you tried to architect a legacy monolithic system?,Skipped error handling,Medium,Technical,AWS,2,3,0.5,6,All
7d72b18e-02c8-446a-9a41-e912938f85c9,Q00011,deep_dive,What are the specific trade-offs of using AWS for this over an alternative?,Strong base answer,Medium,Technical,AWS,3,3,0.6,7,All
911a4b53-09fb-4f5f-a56f-a6375e403ab4,Q00011,edge_case,How does the system recover if AWS fails with limited budget for cloud resources?,Skipped error handling,Medium,Technical,AWS,4,3,0.8,8,All
44cb6f11-5be3-476f-b444-a6f40875ca00,Q00012,follow_up,Can you provide a specific metric when you tried to scale a high-traffic web application?,No conflict acknowledged,Expert,Soft Skills,Adaptability,2,3,0.5,6,All
94b60cb4-5fd4-48a4-b251-587d3a8e4ac8,Q00012,deep_dive,What are the specific trade-offs of using Adaptability for this over an alternative?,No personal ownership shown,Expert,Soft Skills,Adaptability,3,3,0.6,7,All
aec4e955-3284-4a6e-beaa-1e6ccac0858a,Q00012,edge_case,How does the system recover if Adaptability fails with a hard deadline of two weeks?,No personal ownership shown,Expert,Soft Skills,Adaptability,4,3,0.8,8,All
14001d51-f1ba-46eb-8346-cf7ef8ebc3c9,Q00013,follow_up,Can you provide a specific metric when you tried to scale a legacy monolithic system?,Missed database indexing,Expert,System Design,Microservices,2,3,0.5,6,All
ec6e1284-b3aa-4202-b599-567a1991b7a5,Q00013,deep_dive,What are the specific trade-offs of using Microservices for this over an alternative?,Missing CAP theorem awareness,Expert,System Design,Microservices,3,3,0.6,7,All
4d6a1db2-667f-4f08-890d-0da6ad558713,Q00013,edge_case,How does the system recover if Microservices fails under strict memory constraints?,Skipped SLA definition,Expert,System Design,Microservices,4,3,0.8,8,All
1242a43f-f9cc-413b-bc7f-3c7a1f3d8812,Q00014,follow_up,Can you provide a specific metric when you tried to scale a latency-sensitive trading platform?,Generic example used,Medium,Soft Skills,Communication,2,3,0.5,6,All
f53e076b-8991-4729-9971-db9b4438d72f,Q00014,deep_dive,What are the specific trade-offs of using Communication for this over an alternative?,No personal ownership shown,Medium,Soft Skills,Communication,3,3,0.6,7,All
defa97ea-63a7-45df-81af-70693d08e5aa,Q00014,edge_case,How does the system recover if Communication fails during a major compliance audit?,No conflict acknowledged,Medium,Soft Skills,Communication,4,3,0.8,8,All
c24754a3-5d97-4666-b5d9-bae942f3eaf1,Q00015,follow_up,Can you provide a specific metric when you tried to secure a realtime data pipeline?,Weak on reflection,Easy,Soft Skills,Conflict Resolution,2,3,0.5,6,All
45deb5a1-f24e-4a0d-a814-df86a7eb8d14,Q00015,deep_dive,What are the specific trade-offs of using Conflict Resolution for this over an alternative?,Strong STAR answer,Easy,Soft Skills,Conflict Resolution,3,3,0.6,7,All
369a0251-04d9-4063-b2bb-6d21de3a19ce,Q00015,edge_case,How does the system recover if Conflict Resolution fails under strict memory constraints?,Stakeholder impact missing,Easy,Soft Skills,Conflict Resolution,4,3,0.8,8,All
79088052-6b5f-4a36-9201-663876b5e74e,Q00016,follow_up,Can you provide a specific metric when you tried to migrate an offline-first mobile app backing service?,No mention of trade-offs,Easy,Technical,AWS,2,3,0.5,6,All
537e53d6-da45-411d-b7a1-b6f6c2be54f2,Q00016,deep_dive,What are the specific trade-offs of using AWS for this over an alternative?,Strong base answer,Easy,Technical,AWS,3,3,0.6,7,All
8c792489-c85c-4fcf-a6bc-105b202224ce,Q00016,edge_case,How does the system recover if AWS fails while maintaining backward compatibility?,Missing cost consideration,Easy,Technical,AWS,4,3,0.8,8,All
d8e24c14-d229-418d-a0b5-4e18d4d5e602,Q00017,follow_up,Can you provide a specific metric when you tried to refactor a latency-sensitive trading platform?,Missing CAP theorem awareness,Hard,System Design,API Design,2,3,0.5,6,All
b49d7383-0021-48b1-afe4-dde427fe8bae,Q00017,deep_dive,What are the specific trade-offs of using API Design for this over an alternative?,Strong base answer,Hard,System Design,API Design,3,3,0.6,7,All
0a224428-349a-470d-895a-747012b8b2bd,Q00017,edge_case,How does the system recover if API Design fails while ensuring 99.99% uptime?,Missing failure scenarios,Hard,System Design,API Design,4,3,0.8,8,All
0ae7db5a-f4f2-47a2-af68-462399c77030,Q00018,follow_up,Can you provide a specific metric when you tried to optimize a latency-sensitive trading platform?,Missed database indexing,Hard,System Design,Scalability,2,3,0.5,6,All
f1a7f700-5cb5-4d92-a616-465b2ae1a76a,Q00018,deep_dive,What are the specific trade-offs of using Scalability for this over an alternative?,Strong base answer,Hard,System Design,Scalability,3,3,0.6,7,All
3f41cc5b-73b7-4f2c-9abf-561707f64554,Q00018,edge_case,How does the system recover if Scalability fails with a hard deadline of two weeks?,Missing CAP theorem awareness,Hard,System Design,Scalability,4,3,0.8,8,All
62b00451-ac4f-471c-9f65-13665dbe8462,Q00019,follow_up,Can you provide a specific metric when you tried to debug a high-traffic web application?,Did not consider latency,Hard,System Design,Security,2,3,0.5,6,All
3c94b68f-5cca-4daa-9e76-1746985a9028,Q00019,deep_dive,What are the specific trade-offs of using Security for this over an alternative?,Missing CAP theorem awareness,Hard,System Design,Security,3,3,0.6,7,All
aaf0186f-e426-4a91-aaa1-597b3d0b200a,Q00019,edge_case,How does the system recover if Security fails under strict memory constraints?,Missing CAP theorem awareness,Hard,System Design,Security,4,3,0.8,8,All
4a2cb340-0a0f-470d-9222-cbb01ee58b5e,Q00020,follow_up,Can you provide a specific metric when you tried to secure a realtime data pipeline?,Did not consider latency,Easy,System Design,Database Design,2,3,0.5,6,All
14b96192-3d9f-4c34-b1aa-78ac4196e607,Q00020,deep_dive,What are the specific trade-offs of using Database Design for this over an alternative?,Strong base answer,Easy,System Design,Database Design,3,3,0.6,7,All
7d12c89a-4c8d-4594-beec-259931b925ac,Q00020,edge_case,How does the system recover if Database Design fails during a major compliance audit?,No mention of CDN or load balancer,Easy,System Design,Database Design,4,3,0.8,8,All
